"name","value"
"ar.1",-0.645862048756925
"ne.1",-25.7498118821685
"end.sin(2 * pi * t/52)",0.460844792296696
"end.cos(2 * pi * t/52)",-1.32944389111911
"end.1.03401",-23.38785977773
"end.1.03402",-0.694375534054948
"end.1.03403",-23.3942484011708
"end.1.03404",-3.59599437841992
"end.1.03405",-23.3659195139342
"end.1.03451",-4.35228665439674
"end.1.03452",-1.1620379174303
"end.1.03453",-4.35015589196351
"end.1.03454",-1.76579177266013
"end.1.03455",-3.65298438453799
"end.1.03456",-3.62166967906082
"end.1.03457",-0.351862306339971
"end.1.03458",-4.2809392545673
"end.1.03459",-2.32801177199678
"end.1.03460",-4.39405036539433
"end.1.03461",-3.16537897055274
"end.1.03462",-4.319701544295
"overdisp",1.69732151395656
"loglik",-354.942856009092
